Bodmer8Reading,Relation,DifferingReading
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.2@ὁσαπλάσιον ἐστὶ,disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.propositions.2@ὁσαπλάσιόν ἐστι
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.2@ΖΕ[1],disagrees,urn:cts:greekLit:tlg0552.tlg001.msB:1.propositions.2@HE[1]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.2@τὸ ZH,agrees,urn:cts:greekLit:tlg0552.tlg001.msC:1.propositions.2@τὸ ZH
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.2@ἐστὶ,agrees,urn:cts:greekLit:tlg0552.tlg001.msA:1.propositions.2@ἐστὶ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.2@ἴσον,agrees,urn:cts:greekLit:tlg0552.tlg001.msB:1.propositions.2@ἴσον
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.5@ἐστὶν,disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.propositions.5@ἐστὶ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.6@ἔστω,disagrees,urn:cts:greekLit:tlg0552.tlg001.msF:1.propositions.6@ἔσται
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.6@τὸν,disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.propositions.6@τι
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.6@οὕ,disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.propositions.6@οὕτως
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.2@ΖΕ[2],disagrees,urn:cts:greekLit:tlg0552.tlg001.msJ:1.propositions.2@HE[2]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.3@ΗΝΓ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msF:1.propositions.3@ΝΓ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.7@τῆς πυραμίδα ἡ μάσις,disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.propositions.7@ἡ βάσις τῆς πυραμίδα
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.8@ἐστὶ,agrees,urn:cts:greekLit:tlg0552.tlg001.msC:1.propositions.8@ἐστὶν
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.8@ἶσα,disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.propositions.8@ἴσα
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.8@ΑΔΓ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msF:1.propositions.8@ΑBΓ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.9@αὐτοῦ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msJ:1.propositions.9@τοῦ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.9@ΕΔN,disagrees,urn:cts:greekLit:tlg0552.tlg001.msF:1.propositions.9@ΕΔH
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.9@ENZ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msC:1.propositions.9@EZH
