Bodmer8Reading,Relation,DifferingReading
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.11@περιλειμμάτων[1],disagrees,urn:cts:greekLit:tlg0552.tlg001.msD:1.propositions.11@περιλημμάτων[1]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.11@περιλειμμάτων[3],disagrees,urn:cts:greekLit:tlg0552.tlg001.msH:1.propositions.11@περιλημμάτων[3]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.12@κοῖλαι,disagrees,urn:cts:greekLit:tlg0552.tlg001.msE:1.propositions.12@κοῖλα
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.12@κοινὰ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msE:1.propositions.12@μόνα
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.12@βάσεις[4],disagrees,urn:cts:greekLit:tlg0552.tlg001.msG:1.propositions.12@βάσις[4]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.13@δὴ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msG:1.propositions.13@δὲ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.14@τῶ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msG:1.propositions.14@τὸ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.14@δὲ[2],disagrees,urn:cts:greekLit:tlg0552.tlg001.msG:1.propositions.14@δὴ[2]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.15@τουτέστιν,disagrees,urn:cts:greekLit:tlg0552.tlg001.msG:1.propositions.15@τουτέστι
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.18@τὸ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msH:1.propositions.18@τῶ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.3@ΔΘ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msE:1.lemmata.3@ΕΘ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.3@ἔχων,disagrees,urn:cts:greekLit:tlg0552.tlg001.msD:1.lemmata.3@ἔχον
urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.4@περιλείμματι[1],disagrees,urn:cts:greekLit:tlg0552.tlg001.msD:1.lemmata.4@περιλήμματι[1]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.4@τοῦτο καὶ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msG:1.lemmata.4@τούτοις
urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.5@ΕΒΔΖ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msG:1.lemmata.5@ΕΒΖΔ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.5@περιλείμματι[3],disagrees,urn:cts:greekLit:tlg0552.tlg001.msH:1.lemmata.5@περιλήμματι[3]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.12@τὰ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msE:1.corollaries.12@τὸ[2]
urn:cts:greekLit:tlg0552.tlg001.cb8:2.preface@κόνωνι,disagrees,urn:cts:greekLit:tlg0552.tlg001.msH:2.preface@κώνωνι
urn:cts:greekLit:tlg0552.tlg001.cb8:2.preface@διότι,disagrees,urn:cts:greekLit:tlg0552.tlg001.msH:2.preface@δὴ ὅτι
urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.2@ὡς,disagrees,urn:cts:greekLit:tlg0552.tlg001.msD:2.propositions.2@ὁ
urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.4@ΔΒ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msE:2.propositions.4@ΑΒ
urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.5@ΩΦ[2],disagrees,urn:cts:greekLit:tlg0552.tlg001.msH:2.propositions.5@ΟΦ[2]
urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.7@δὶς,disagrees,urn:cts:greekLit:tlg0552.tlg001.msD:2.propositions.7@δύο
urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.9@τὸ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msH:2.propositions.9@τῶ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.preface@μαθημάτων,agrees,urn:cts:greekLit:tlg0552.tlg001.msD:1.preface@μαθημάτων
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.18@γνώμονι,agrees,urn:cts:greekLit:tlg0552.tlg001.msH:1.propositions.18@γνώμονι
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.1@καὶ,agrees,urn:cts:greekLit:tlg0552.tlg001.msE:1.propositions.1@καὶ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.16@μεῖζον,agrees,urn:cts:greekLit:tlg0552.tlg001.msG:1.lemmata.16@μεῖζον
