EutociusUrn,EutociusImageReference,Order
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.eratosthenes,"urn:cite:ecod:codbod8.cb-0008_188r@0.047,0.1163,0.6166,0.6647",075
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.3,"urn:cite:ecod:codbod8.cb-0008_193r@0.048,0.4674,0.5866,0.3293",087
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,"urn:cite:ecod:codbod8.cb-0008_198r@0.0581,0.1245,0.6296,0.7344",098
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.dionysodorus,"urn:cite:ecod:codbod8.cb-0008_203r@0.0651,0.1178,0.5896,0.6812",109
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.diocles,"urn:cite:ecod:codbod8.cb-0008_208r@0.0501,0.1268,0.5956,0.2078",120
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8,"urn:cite:ecod:codbod8.cb-0008_210v@0.3714,0.6872,0.5946,0.1043",131
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,"urn:cite:ecod:codbod8.cb-0008_215r@0.0761,0.132,0.5946,0.6759",142
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.hero,"urn:cite:ecod:codbod8.cb-0008_180v@0.3894,0.1245,0.5686,0.3773",052
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.sporus,"urn:cite:ecod:codbod8.cb-0008_184r@0.047,0.4276,0.5946,0.3526",063
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.3,"urn:cite:ecod:codbod8.cb-0008_193v@0.3664,0.1185,0.5916,0.1425",088
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,"urn:cite:ecod:codbod8.cb-0008_198v@0.4054,0.1253,0.5606,0.6999",099
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.dionysodorus,"urn:cite:ecod:codbod8.cb-0008_203v@0.3854,0.1185,0.5786,0.3496",110
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.synthesis,"urn:cite:ecod:codbod8.cb-0008_208r@0.048,0.2986,0.5976,0.5184",121
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8,"urn:cite:ecod:codbod8.cb-0008_211r@0.038,0.1125,0.6176,0.6677",132
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,"urn:cite:ecod:codbod8.cb-0008_215v@0.3744,0.1298,0.5916,0.6692",143
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.philon,"urn:cite:ecod:codbod8.cb-0008_180v@0.3594,0.4914,0.5916,0.2933",053
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.sporus,"urn:cite:ecod:codbod8.cb-0008_184v@0.3914,0.1208,0.5626,0.3818",064
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,"urn:cite:ecod:codbod8.cb-0008_196v@0.3934,0.1245,0.5846,0.6977",095
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,"urn:cite:ecod:codbod8.cb-0008_202r@0.048,0.1185,0.6306,0.4239",106
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.diocles,"urn:cite:ecod:codbod8.cb-0008_206v@0.3614,0.1163,0.6096,0.6872",117
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.6.synthesis,"urn:cite:ecod:codbod8.cb-0008_210r@0.022,0.4314,0.6106,0.3263",128
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,"urn:cite:ecod:codbod8.cb-0008_213v@0.3834,0.1268,0.5876,0.6827",139
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.philon,"urn:cite:ecod:codbod8.cb-0008_181r@0.0551,0.1193,0.6196,0.6827",054
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.menaechmus,"urn:cite:ecod:codbod8.cb-0008_184v@0.3864,0.4734,0.5776,0.3211",065
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,"urn:cite:ecod:codbod8.cb-0008_194r@0.0741,0.1223,0.5786,0.6692",090
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,"urn:cite:ecod:codbod8.cb-0008_199v@0.3844,0.1313,0.5806,0.6902",101
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.diocles,"urn:cite:ecod:codbod8.cb-0008_204r@0.0691,0.1125,0.6376,0.7412",112
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.5,"urn:cite:ecod:codbod8.cb-0008_208v@0.3403,0.3226,0.6286,0.4831",123
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8,"urn:cite:ecod:codbod8.cb-0008_212r@0.0511,0.1275,0.6216,0.6767",134
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,"urn:cite:ecod:codbod8.cb-0008_216v@0.3714,0.1193,0.5996,0.1305",145
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.philon,"urn:cite:ecod:codbod8.cb-0008_181v@0.3874,0.117,0.5676,0.0533",055
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.menaechmus,"urn:cite:ecod:codbod8.cb-0008_185r@0.0781,0.1238,0.5726,0.4464",066
