omittedText,section,folio,order
ἴσον,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.philon,181r,033
αἱ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.otherwise,185r,040
τὴν,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,193v,060
ἡ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.diocles,205r,097
αἱ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.5,208v,108
"ἀλλ' ὡς ἡ  ΘΓ πρὸς ΘΠ, οὕτως ἡ ΜΝ πρὸς ΝΡ",urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.6,210r,113
ὁ δὲ Γ πρὸς τὸν ΖΕ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8,211v,124
ἐπὶ τὴν ΘΗ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,214r,137
τοῦ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,215r,144
πρὸς τὸ ὑπὸ ΒΘΓ τοῦ  ἀπὸ ΒΘ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,216r,159
ὑπὸ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.9,217r,170
ἔστι,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.9,217v,175
ἡ ΓΗ πρὸς ΔΘ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.eratosthenes,188r,044
τοῖς,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.nicomedes,189v,048
τῶν λόγων,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,195r,063
"τοῦ ἀπὸ τῆς ΒΕ ἐπὶ  τὴν ΕΑ ἢ ἴσον ἢ ἔλασσον.  εἰ μὲν οὖν μεῖζόν ἐστιν, ",urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,198r,074
αὐτὴν,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.diocles,203v,089
"καὶ ἐκβεβλήσθω ἐπὶ τὸ Π, διὰ δὲ τοῦ Ξ τῆ ΑΒ παράλληλος  ἤχθω ἡ ΛΞΝ,",urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.diocles,206r,100
αἱ βάσεις,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.5,209v,111
ἐστὶ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8,211v,122
λόγου,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,214r,135
"ἡ δὲ ΛΕ τῇ ΒΘ ἐστιν ἴση: ἡ ἄρα ΗΓ πρὸς ΒΘ  μείζονα λόγον ἔχει ἤπερ συναμφότερος ἡ ΚΛ, ΑΘ πρὸς  ΑΘ.",urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,216r,155
ὡς δὲ τὸ ἀπὸ ΑΘ ἐπὶ τὴν ΘΗ πρὸς τὸ  ὑπὸ ΓΘΒ ἐπὶ τὴν ΘΗ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,216r,157
τριγώνω,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.9,217r,168
τοῖς,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.nicomedes,189r,045
ἀπὸ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.nicomedes,191r,051
"ἀνάλογον γάρ εἰσιν: ὡς ἄρα ἡ  ΡΛ πρὸς ΛΔ, οὕτως τὸ ἀπὸ ΛΚ πρὸς τὸ ἀπὸ ΛΔ",urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,193v,061
"καὶ ὡς ἄρα ὁ κύκλος, οὗ ἡ  ἐκ τοῦ κέντρου ἴση ἐστὶ τῆ ΑΒ, πρὸς τὸν κύκλον, οὗ ἡ  ἐκ τοῦ κέντρου ἴση ἐστὶ τῆ ΒΜ,",urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.dionysodorus,202v,084
τὴν,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.diocles,204r,092
ΑΖ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.diocles,207v,103
καὶ ὡς  ἄρα τὸ ἀπὸ ΒΠ πρὸς τὸ ἀπὸ ΠΓ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.6.synthesis,210r,115
ὑπὸ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8.lemma,212v,126
τῷ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,214v,139
ἀπὸ[1],urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,215r,146
ἀπὸ[2],urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,215r,148
πρὸς τὸ τμῆμα,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,216v,161
πρὸς,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,195v,064
δύνασθαι,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,197v,073
καὶ συμπιπτέτω τῇ ΓΕ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,198r,075
οὗ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.dionysodorus,202v,083
ἡ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.diocles,204r,091
δὲ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.diocles,206v,102
ἤπερ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8,211r,120
καὶ τοῦ τῆς ΑΘ πρὸς ΘΖ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,213v,131
πρὸς τὸ ἀπὸ ΓΒ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,214r,133
ἀπὸ τῆς  ΑΒ κύβου πρὸς τὸν ἀπὸ τῆς ΒΓ κύβον. ἀλλ' ὡς ὁ ἀπὸ  τῆς ΑΒ κύβος πρὸς τὸν,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,214v,141
"ἡ ΓΘ πρὸς ΘΒ, καὶ ἐναλλάξ, ὅτι ἡ ΗΘ πρὸς ΘΓ μείζονα λόγον ἔχει ἤπερ",urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,215v,153
τῶν,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.9,217r,166
